Sentence;Expected Annotations;Predicted Annotations;Precision;Recall;F1 Score
"Nude Capaneus advancing right, wearing helmet, holding spear in his right hand and shield and ladder in his left arm; his left foot on a low wall.";[('Capaneus', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'ladder', 'OBJECT')];[('Capaneus', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'spear', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'shield', 'OBJECT'), ('Capaneus', 'PERSON', 'holding', 'ladder', 'OBJECT')];1.0;1.0;1.0
Rhoemetalces I holding paludamentum.;[('Rhoemetalces I', 'PERSON', 'holding', 'paludamentum', 'OBJECT')];[('Rhoemetalces I', 'PERSON', 'holding', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Emperor Severus Alexander in military attire seated_on right on horse, wearing cuirass and fluttering paludamentum, holding transverse spear in right hand. Short ground line. Border of dots.;[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Severus Alexander', 'PERSON', 'holding', 'spear', 'OBJECT')];[];0.0;0.0;0.0
"Veil and draped bust of Demeter, right, wearing corn wreath; in front two poppy.";[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')];[];0.0;0.0;0.0
Athena standing facing, head left, wearing helmet, holding Nike and shield.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'Nike', 'PERSON'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];1.0;1.0;1.0
"Zeus throne left, naked to waist, holding patera in right hand, leftresting_on on scepter; at his foot, eagle standing left, head right, wing spread.";[('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Zeus', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];[('Zeus', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Zeus', 'PERSON', 'resting_on', 'scepter', 'OBJECT')];1.0;1.0;1.0
Demeter throne left, holding two corn in right hand, leftresting_on on long torch. Ground line.;[('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'holding', 'corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')];1.0;1.0;1.0
Nude Apollo standing facing, head left, holding laurel branch in right hand over garland altar, which is covered with five apple, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots.;[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'resting_on', 'tripod', 'OBJECT')];1.0;1.0;1.0
Emperor Marcus Aurelius in military attire seated_on right on horse, wearing cuirass, fluttering paludamentum and boot, holding short spear in raised right hand.;[('Marcus Aurelius', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Marcus Aurelius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Marcus Aurelius', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Marcus Aurelius', 'PERSON', 'holding', 'spear', 'OBJECT')];[];0.0;0.0;0.0
"Dionysus, wearing panther fur and boot, standing left, holding cantharus right hand, resting left arm on thyrsus; at his foot, left, panther.";[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'resting_on', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'resting_on', 'thyrsus', 'OBJECT')];1.0;1.0;1.0
