Sentence;Expected Annotations;Predicted Annotations;Precision;Recall;F1 Score
Radiate bust of Philippus iunior, right, wearing cuirass and paludamentum.;[('Philippus II', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Philippus II', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[];0.0;0.0;0.0
"At left, Demeter standing facing, head right, wearing wreath, holding long lit torch in left arm and two corn with right hand over cista mystica on the left with half-open lid, to right, out of which serpent creeps, right; at right, Homonoia with kalathos standing facing, head left, holding a patera in outstretched right hand over lighted and garland altar to left and cornucopia in left arm. Ground line. Border of dots.";[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'cornucopia', 'OBJECT'), ('Homonoia', 'PERSON', 'wearing', 'wreath', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'torch', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT'), ('kalathos', 'OBJECT', 'holding', 'patera', 'OBJECT'), ('kalathos', 'OBJECT', 'holding', 'cornucopia', 'OBJECT'), ('cornucopia', 'OBJECT', 'holding', 'torch', 'OBJECT'), ('cornucopia', 'OBJECT', 'holding', 'patera', 'OBJECT')];0.25;1.0;0.4
"River-god and city goddess; to left, river-god resting_on right, holding reed andresting_on on water urn; to right, city goddess standing left, wearing kalathos, holding patera and scepter.";[('river-god', 'PERSON', 'holding', 'reed', 'PLANT'), ('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('city goddess', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('city goddess', 'PERSON', 'holding', 'patera', 'OBJECT')];[('city goddess', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Artemis advancing right, wearing short fluttering chiton and boot, holding bow in left hand andholding arrow from quiver at shoulder with right hand; at her foot, hound advancing right.";[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];1.0;1.0;1.0
"Façade of a hexastyle temple on crepidoma with architrave, frieze and geison, a dot on pediment and acroteria and antefix along roof; inside a statue of Tyche standing facing, head left, wearing kalathos, holding patera in outstretched right hand and cornucopia in left arm.";[('Tyche', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Tyche', 'PERSON', 'holding', 'patera', 'OBJECT')];[];0.0;0.0;0.0
Hermes standing left, holding purse and caduceus.;[('Hermes', 'PERSON', 'holding', 'purse', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'caduceus', 'OBJECT')];[('Hermes', 'PERSON', 'holding', 'purse', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'caduceus', 'OBJECT')];1.0;1.0;1.0
"Nude Zeus standing left, head right, cloak over left shoulder, holding thunderbolt in outstretched right hand, scepter in left hand; eagle standing left, head right, wing half spread.";[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT')];[('Zeus', 'PERSON', 'holding', 'thunderbolt', 'OBJECT')];1.0;1.0;1.0
"Athena standing facing, head left, wearing long garment and helmet; holding patera in outstretched right hand and inverted spear in left arm; at her foot, shield placed on ground.";[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Head of Artemis, right, wearing necklace and earring; behind, quiver. Border of dots.";[('Artemis', 'PERSON', 'wearing', 'necklace', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'earring', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'necklace', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'earring', 'OBJECT')];1.0;1.0;1.0
"Athena Nikephoros throne left, holding Nike in outstretched right hand; left armresting_on on shield behind; in background, transverse spear; in inner left field, monogram.";[('Athena', 'PERSON', 'holding', 'Athena', 'PERSON'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];1.0;1.0;1.0
